lat,lon,estimated_sig_report_days_per_year_grid_130_cropped_blurred
21.769,-76.082,0.0
21.752,-75.952,0.0
21.735,-75.82299999999998,0.0
21.718,-75.69299999999998,0.0
21.7,-75.56299999999999,0.0
21.683,-75.43400000000003,0.0
21.665,-75.30399999999997,0.0
21.648,-75.17500000000001,0.0
21.63,-75.04599999999999,0.0
21.612,-74.916,0.0
21.594,-74.78699999999998,0.0
21.576,-74.65800000000002,0.0
21.558,-74.52800000000002,0.0
21.539,-74.399,0.0
21.521,-74.26999999999998,0.0
21.502,-74.14100000000002,0.0
21.484,-74.012,0.0
21.465,-73.882,0.0
21.446,-73.75299999999999,0.0
21.427,-73.62400000000002,0.0
21.408,-73.495,0.0
21.388,-73.36700000000002,0.0
21.369,-73.238,0.0
21.35,-73.10899999999998,0.0
21.33,-72.98000000000002,0.0
21.31,-72.851,0.0
21.29,-72.72300000000001,0.0
21.271,-72.594,0.0
21.25,-72.46499999999997,0.0
21.23,-72.33699999999999,0.0
21.21,-72.20800000000003,0.0
21.19,-72.07999999999998,0.0
21.169,-71.95100000000002,0.0
21.148,-71.82299999999998,0.0
21.128,-71.69400000000002,0.0
21.107,-71.56599999999997,0.0
21.086,-71.43799999999999,0.0
21.065,-71.30900000000003,0.0
21.044,-71.18099999999998,0.0
21.022,-71.053,0.0
21.001,-70.92500000000001,0.0
20.979,-70.79700000000003,0.0
20.958,-70.66899999999998,0.0
20.936,-70.541,0.0
20.914,-70.41300000000001,0.0
20.892,-70.28500000000003,0.0
20.87,-70.15699999999998,0.0
20.848,-70.029,0.0
20.826,-69.90100000000001,0.0
20.803,-69.774,0.0
20.781,-69.64600000000002,0.0
20.758,-69.51799999999997,0.0
20.735,-69.39100000000002,0.0
20.712,-69.26299999999998,0.0
20.689,-69.13600000000002,0.0
20.666,-69.00799999999998,0.0
20.643,-68.88099999999997,0.0
20.62,-68.75299999999999,0.0
20.596,-68.62599999999998,0.0
20.573,-68.49900000000002,0.0
20.549,-68.37099999999998,0.0
19.96,-125.201,0.0
19.987,-125.07499999999999,0.0
20.014,-124.94900000000001,0.0
20.04,-124.82300000000001,0.0
20.067,-124.697,0.0
